url,video_id,reason
https://www.youtube.com/watch?v=tP0KA2yI-QY&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1552,tP0KA2yI-QY,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=tP0KA2yI-QY! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=bepFvVY9MuM&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1549,bepFvVY9MuM,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=bepFvVY9MuM! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=h4XkP10BQNo&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1545,h4XkP10BQNo,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=h4XkP10BQNo! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=OL1VJGeCtGw&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2468,OL1VJGeCtGw,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=OL1VJGeCtGw! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=6eF59X5auFo&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1538,6eF59X5auFo,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=6eF59X5auFo! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the"
https://www.youtube.com/watch?v=r8hggGc_IvM&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2467,r8hggGc_IvM,"ConnectionError: HTTPSConnectionPool(host='www.youtube.com', port=443): Max retries exceeded with url: /watch?v=r8hggGc_IvM (Caused by NameResolutionError(""HTTPSConnection(host='www.youtube.com', port=443): Failed to "
https://www.youtube.com/watch?v=TXiG10Q00hE&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1534,TXiG10Q00hE,"ConnectionError: HTTPSConnectionPool(host='www.youtube.com', port=443): Max retries exceeded with url: /watch?v=TXiG10Q00hE (Caused by NameResolutionError(""HTTPSConnection(host='www.youtube.com', port=443): Failed to "
https://www.youtube.com/watch?v=eE_ibbLtkck&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2466,eE_ibbLtkck,"ConnectionError: HTTPSConnectionPool(host='www.youtube.com', port=443): Max retries exceeded with url: /watch?v=eE_ibbLtkck (Caused by NameResolutionError(""HTTPSConnection(host='www.youtube.com', port=443): Failed to "
https://www.youtube.com/watch?v=VoYLwjHSQAo&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1529,VoYLwjHSQAo,"ConnectionError: HTTPSConnectionPool(host='www.youtube.com', port=443): Max retries exceeded with url: /watch?v=VoYLwjHSQAo (Caused by NameResolutionError(""HTTPSConnection(host='www.youtube.com', port=443): Failed to "
https://www.youtube.com/watch?v=deVoaRTfVqs&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1527,deVoaRTfVqs,"ConnectionError: HTTPSConnectionPool(host='www.youtube.com', port=443): Max retries exceeded with url: /watch?v=deVoaRTfVqs (Caused by NameResolutionError(""HTTPSConnection(host='www.youtube.com', port=443): Failed to "
https://www.youtube.com/watch?v=uGUtNujSdBk&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2465,uGUtNujSdBk,"ConnectionError: HTTPSConnectionPool(host='www.youtube.com', port=443): Max retries exceeded with url: /watch?v=uGUtNujSdBk (Caused by NameResolutionError(""HTTPSConnection(host='www.youtube.com', port=443): Failed to "
https://www.youtube.com/watch?v=kUa8UOkL4Mo&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=1524,kUa8UOkL4Mo,"ConnectionError: HTTPSConnectionPool(host='www.youtube.com', port=443): Max retries exceeded with url: /watch?v=kUa8UOkL4Mo (Caused by NameResolutionError(""HTTPSConnection(host='www.youtube.com', port=443): Failed to "
https://www.youtube.com/watch?v=-PKbk6aXKy8&list=PLk1Sqn_f33KuWf3tW9BBe_4TP7x8l0m3T&index=2462,-PKbk6aXKy8,TranscriptsDisabled
